employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,performance_score
8724,Technology,region_26,Bachelors,Male,sourcing,1 ,24 ,,1 ,1 ,0 ,77 ,16 
74430,HR,region_4,Bachelors,Female,other,1 ,31 ,3 ,5 ,0 ,0 ,51 ,10 
72255,Sales & Marketing,region_13,Bachelors,Male,other,1 ,31 ,1 ,4 ,0 ,0 ,47 ,9 
38562,Procurement,region_2,Bachelors,Female,other,3 ,31 ,2 ,9 ,0 ,0 ,65 ,13 
64486,Finance,region_29,Bachelors,Male,sourcing,1 ,30 ,4 ,7 ,0 ,0 ,61 ,12 
46232,Procurement,region_7,Bachelors,Male,sourcing,1 ,36 ,3 ,2 ,0 ,0 ,68 ,14 
54542,Finance,region_2,Bachelors,Male,other,1 ,33 ,5 ,3 ,1 ,0 ,57 ,12 
67269,Analytics,region_22,Bachelors,Male,sourcing,2 ,36 ,3 ,3 ,0 ,0 ,85 ,17 
66174,Technology,region_7,Masters,Male,other,1 ,51 ,4 ,11 ,0 ,0 ,75 ,15 
76303,Technology,region_22,Bachelors,Male,sourcing,1 ,29 ,5 ,2 ,1 ,0 ,76 ,16 
60245,Sales & Marketing,region_16,Bachelors,Male,sourcing,2 ,40 ,5 ,12 ,1 ,0 ,50 ,11 
42639,Sales & Marketing,region_17,Masters,Male,sourcing,1 ,40 ,3 ,10 ,0 ,0 ,46 ,9 
30963,Sales & Marketing,region_4,Masters,Female,other,1 ,34 ,3 ,4 ,0 ,0 ,52 ,10 
54055,Analytics,region_24,Bachelors,Male,other,1 ,37 ,3 ,10 ,0 ,0 ,82 ,16 
42996,Operations,region_11,Bachelors,Male,sourcing,1 ,30 ,5 ,6 ,1 ,0 ,58 ,12 
12737,Sales & Marketing,region_7,Bachelors,Male,sourcing,1 ,31 ,4 ,4 ,1 ,0 ,47 ,10 
27561,Operations,region_27,Bachelors,Female,sourcing,1 ,26 ,5 ,3 ,0 ,0 ,56 ,11 
26622,Sales & Marketing,region_17,Bachelors,Male,sourcing,1 ,40 ,5 ,6 ,1 ,0 ,50 ,11 
31582,Procurement,region_7,Bachelors,Female,other,1 ,49 ,3 ,7 ,1 ,0 ,64 ,13 
29793,Procurement,region_27,Bachelors,Male,other,1 ,27 ,2 ,5 ,0 ,0 ,65 ,13 
72735,Sales & Marketing,region_9,Masters,Male,sourcing,1 ,37 ,5 ,3 ,0 ,0 ,47 ,9 
5677,Technology,region_17,Bachelors,Male,sourcing,1 ,25 ,,1 ,0 ,0 ,80 ,16 
60889,Technology,region_29,Masters,Male,sourcing,1 ,30 ,1 ,3 ,0 ,0 ,83 ,17 
51498,Procurement,region_4,Masters,Male,other,1 ,41 ,3 ,4 ,0 ,0 ,76 ,15 
8566,Finance,region_20,Bachelors,Female,other,1 ,29 ,4 ,6 ,1 ,0 ,58 ,12 
53151,Operations,region_20,Bachelors,Male,other,1 ,33 ,3 ,7 ,1 ,1 ,62 ,13 
16203,Sales & Marketing,region_17,Masters,Male,sourcing,1 ,34 ,4 ,6 ,1 ,0 ,50 ,11 
61083,Analytics,region_13,Bachelors,Male,sourcing,1 ,34 ,3 ,3 ,1 ,0 ,87 ,18 
74849,Operations,region_22,Bachelors,Male,other,1 ,52 ,1 ,10 ,0 ,0 ,61 ,12 
13259,Sales & Marketing,region_34,Bachelors,Male,sourcing,1 ,30 ,2 ,3 ,0 ,0 ,50 ,10 
72407,Analytics,region_2,Masters,Male,sourcing,2 ,34 ,4 ,7 ,0 ,0 ,87 ,17 
65237,Sales & Marketing,region_2,Bachelors,Male,sourcing,2 ,43 ,1 ,14 ,0 ,0 ,52 ,10 
67672,Technology,region_17,Bachelors,Male,other,1 ,29 ,,1 ,1 ,0 ,85 ,18 
